X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,-13000,2682,1,857.9144111,0,1,0,-1999.812384
-13000,-13000,2882,0.99277055,845.5547509,0,1,0.21175187,-2199.812384
-13000,-13000,2882,1,838.0515883,0,1,0,-2199.812384
-13000,-13000,3082,0.994273752,828.4812859,0,1,0.165769837,-2399.812384
-13000,-13000,100,1,2460.55702,0,1,0,582.187616
-13000,-13000,300,1.012133695,2520.630575,1,1,0.601879817,382.187616
-13000,-13000,100,1,2355.232677,0,1,0,582.187616
-13000,-13000,300,1.009203557,2398.785213,1,1,0.446655417,382.187616
-13000,-13000,3082,1,820.568821,0,1,0,-2399.812384
-13000,-13000,3282,0.99404835,810.8304098,0,1,0.170488432,-2599.812384
-13000,-13000,3282,1,806.6476468,0,1,0,-2599.812384
-13000,-13000,3482,0.971229416,760.8998994,0,1,0.817128969,-2799.812384
-13000,-13000,100,1,2094.606326,0,1,0,582.187616
-13000,-13000,300,1.016460122,2164.128782,1,1,0.753328274,382.187616
-13000,-13000,100,1,2095.188206,0,1,0,582.187616
-13000,-13000,300,1.046013553,2292.438343,1,1,2.106188736,382.187616
-13000,-13000,3482,1,772.1911855,0,1,0,-2799.812384
-13000,-13000,3682,1.009636272,787.1449785,1,1,0.267775897,-2999.812384
-13000,-13000,3682,1,811.162097,0,1,0,-2999.812384
-13000,-13000,3882,1.010832798,828.8315976,1,1,0.308527933,-3199.812384
-13000,-13000,100,1,2638.707638,0,1,0,582.187616
-13000,-13000,300,1.008429654,2683.381929,1,1,0.433017462,382.187616
-13000,-13000,100,1,2380.975327,0,1,0,582.187616
-13000,-13000,300,1.00044444,2383.0922,1,1,0.021686579,382.187616
-13000,-13000,3882,1,718.4632344,0,1,0,-3199.812384
-13000,-13000,4082,0.988689468,702.3027429,0,1,0.303169366,-3399.812384
-13000,-13000,100,1,2086.371259,0,1,0,582.187616
-13000,-13000,300,1.029614249,2211.773649,1,1,1.352684508,382.187616
-13000,-13000,4082,1,669.821429,0,1,0,-3399.812384
-13000,-13000,4282,1.009015496,681.9534161,1,1,0.233329222,-3599.812384
-13000,-13000,4282,1,746.9827979,0,1,0,-3599.812384
-13000,-13000,4482,0.971249084,704.647386,0,1,0.785790882,-3799.812384
-13000,-13000,100,1,2189.441985,0,1,0,582.187616
-13000,-13000,300,1.035995724,2349.899929,1,1,1.684292987,382.187616
-13000,-13000,100,1,2215.829222,0,1,0,582.187616
-13000,-13000,300,0.937884035,1949.10202,0,1,2.92395969,382.187616
-13000,-13000,4482,1,748.7119551,0,1,0,-3799.812384
-13000,-13000,4682,1.002204953,752.0173443,1,1,0.060333245,-3999.812384
-13000,-13000,4682,1,723.5842217,0,1,0,-3999.812384
-13000,-13000,4882,1.019508056,752.0910348,1,1,0.524757354,-4199.812384
-13000,-13000,100,1,2601.290307,0,1,0,582.187616
-13000,-13000,300,1.019591701,2704.216176,1,1,0.999232507,382.187616
-13000,-13000,100,1,2557.498257,0,1,0,582.187616
